"Subj","Gender","Age","SES","Siblings","Numeracy","SOEP","SOEPdrive","SOEPfinance","SOEPhealth","SOEPoccup","SOEPrecreat","SOEPsocial","WMC","BartPumps","HoltRisk","LottRisk","LottEV","Concentration","Tiredness","Motivation","Happy","Angry","Sad","Afraid","SOEPMeans","Positive","Negative","RiskPreferences","AngryRecoded","SadRecoded","AfraidRecoded","Affect","LottRiskZScore","LottEVZScore","BartPumpsZScore"
68047001,2,31,4,0,4,7,7,5,7,6,8,8,0.805863095238095,41.1,5,0.42,0.84,62,74,85,78,59,41,29,6.83333333333333,81.5,43,0.258362504737089,41,59,71,62.25,-0.605835664502127,0.949500706447486,0.431422472265908
64079401,2,24,3,2,4,5,3,3,8,4,4,3,0.938462301587301,50.41,6,0.38,0.76,90,70,90,71,31,28,39,4.16666666666667,80.5,32.6666666666667,0.102868133011734,69,72,61,68.25,-1.19593533771848,0.201862354914032,1.30267738183965
68023401,2,21,9,1,2,8,10,9,5,6,6,4,0.743640873015873,37.87,5,0.5,0.82,87,79,76,64,3,44,16,6.66666666666667,70,21,0.488701720425283,97,56,84,75.25,0.574363681930587,0.762591118564122,0.129150360781139
68004401,1,21,6,2,3,4,4,3,3,3,5,4,0.622371031746032,30.63,7,0.44,0.82,74,49,76,81,25,16,27,3.66666666666667,78.5,22.6666666666667,-0.0321943584068096,75,84,73,78.25,-0.310785827893948,0.762591118564122,-0.548388365890603
68027401,2,21,4,0,2,8,6,6,6,6,11,6,0.710456349206349,36.6,2,0.46,0.66,70,60,100,90,10,0,1,6.83333333333333,95,3.66666666666667,-0.246040413422044,90,100,99,94.75,-0.0157359912857694,-0.732685584502785,0.0103003355224223
64093501,1,24,5,2,1,3,3,3,1,4,5,1,0.684970238095238,32.13,4,0.52,0.76,42,50,70,93,10,11,11,2.83333333333333,81.5,10.6666666666667,0.221087184381119,90,89,89,90.25,0.869413518538766,0.201862354914032,-0.40801432030944
68002201,1,23,1,3,1,3,3,4,2,6,6,7,0.295089285714286,12.64,5,0.38,0.38,83,56,85,85,34,11,6,4.66666666666667,85,17,-2.25909874616079,66,89,94,83.5,-1.19593533771848,-3.34941981486987,-2.23194108589401
64141301,1,21,3,0,0,4,1,1,1,5,4,8,0.66609126984127,27.77,5,0.44,0.7,70,20,80,79,11,21,0,3.33333333333333,79.5,10.6666666666667,-0.495229038698453,89,79,100,86.75,-0.310785827893948,-0.358866408736059,-0.816034879465352
64100901,1,23,4,1,0,6,7,4,5,6,8,5,0.530089285714286,40.43,4,0.38,0.68,79,19,75,80,19,40,65,5.83333333333333,77.5,41.3333333333333,-0.457663089699416,81,60,35,64,-1.19593533771848,-0.545775996619422,0.368722065239656
64070601,1,24,5,0,2,3,6,1,2,2,4,1,0.654652777777778,26.43,2,0.44,0.76,33,22,66,66,34,59,79,2.66666666666667,66,57.3333333333333,-0.350119722165924,66,41,21,48.5,-0.310785827893948,0.201862354914032,-0.941435693517856
64090301,2,34,4,1,4,5,2,4,2,6,7,4,0.805585317460317,35.97,6,0.5,0.7,40,44,65,74,31,32,44,4.16666666666667,69.5,35.6666666666667,0.0556135031909541,69,68,56,66.75,0.574363681930587,-0.358866408736059,-0.048656763621666
68012901,2,21,7,2,4,3,7,3,7,6,3,5,NA,35.73,4,0.48,0.78,77,14,74,70,6,26,29,5.16666666666667,72,20.3333333333333,0.198989725735051,94,74,71,77.25,0.279313845322408,0.388771942797396,-0.0711166109146521
